25th of May 2023 - Flett Theatre Foyer at the Natural History Museum,,
Board,Poster Title,Author
1,CNN-LSTM based brain-computer interface for controlling a virtual arm using EEG,Attila Korik
1,Two Sides of the Same Coin: Learning-Rate Free Optimisation and Sampling for Latent Variable Models,Daniel Dodd
2,Offline Reinforcement Learning Through Inference with Pessimistic Priors,Filippo Valdettaro
2,Distinguishability Calibration to In-Context Learning,Hanqi Yan
3,Identifying tumor-specific molecular dependencies using Bayesian spike-and-slab regression,Hanwen Xing
3,Privacy-Preserving Room Occupancy Estimation From Audio,Jennifer Williams
4,CUE: An Uncertainty Interpretation Framework for Text Classifiers Built on Pre-Trained Language Models,Jiazheng Li
4,Improving Local Explanations through Class Balancing,Matt Clifford
5,Neuroception and Detecting Threat perception,Naomi du Bois
5,A Quantum Enhanced Hybrid Algorithm for Spatiotemporal Brain Data Classification.,Ravi Kumar Jha
6,An evaluation of BERT applied for AIOps,Salman Ahmed
6,A Variational Autoencoder for Longitudinal Causal Models,Siddharth Ramchandran
7,Self-adaptive Parameter Control Mechanism in Evolutionary Computation,Xiaoyu Qin
